,day,device_number,behavior,event,sex
290,-4,15,Exploring,9,f
291,-4,15,Seeking,35,f
292,-3,15,Exploring,8,f
293,-3,15,Seeking,27,f
294,-2,15,Exploring,14,f
295,-2,15,Seeking,22,f
296,-1,15,Exploring,10,f
297,-1,15,Seeking,31,f
298,0,15,Exploring,0,f
299,0,15,Seeking,102,f
300,1,15,Exploring,1,f
301,1,15,Seeking,101,f
302,2,15,Exploring,1,f
303,2,15,Seeking,65,f
304,3,15,Exploring,1,f
305,3,15,Seeking,71,f
306,4,15,Exploring,4,f
307,4,15,Seeking,58,f
308,5,15,Exploring,8,f
309,5,15,Seeking,90,f
310,6,15,Exploring,4,f
311,6,15,Seeking,111,f
312,7,15,Exploring,6,f
313,7,15,Seeking,94,f
314,8,15,Exploring,5,f
315,8,15,Seeking,78,f
316,9,15,Exploring,6,f
317,9,15,Seeking,72,f
318,10,15,Exploring,6,f
319,10,15,Seeking,76,f
320,11,15,Exploring,6,f
321,11,15,Seeking,44,f
322,12,15,Exploring,2,f
323,12,15,Seeking,53,f
324,-5,16,Exploring,2,f
325,-5,16,Seeking,26,f
326,-4,16,Exploring,17,f
327,-4,16,Seeking,48,f
328,-3,16,Exploring,23,f
329,-3,16,Seeking,34,f
330,-2,16,Exploring,10,f
331,-2,16,Seeking,61,f
332,-1,16,Exploring,16,f
333,-1,16,Seeking,48,f
334,0,16,Exploring,4,f
335,0,16,Seeking,147,f
336,1,16,Exploring,7,f
337,1,16,Seeking,169,f
338,2,16,Exploring,3,f
339,2,16,Seeking,83,f
340,3,16,Exploring,6,f
341,3,16,Seeking,77,f
342,4,16,Exploring,6,f
343,4,16,Seeking,91,f
344,5,16,Exploring,10,f
345,5,16,Seeking,95,f
346,6,16,Exploring,11,f
347,6,16,Seeking,120,f
348,7,16,Exploring,15,f
349,7,16,Seeking,92,f
350,8,16,Exploring,12,f
351,8,16,Seeking,81,f
352,9,16,Exploring,17,f
353,9,16,Seeking,89,f
354,10,16,Exploring,6,f
355,10,16,Seeking,81,f
356,11,16,Exploring,11,f
357,11,16,Seeking,38,f
358,12,16,Exploring,8,f
359,12,16,Seeking,68,f
