FED,Mode,day,zthour,Binary_Pellets
FED007,empty,-5,5,6.0
FED007,empty,-5,6,6.0
FED007,empty,-5,7,5.0
FED007,empty,-5,8,6.0
FED007,empty,-5,9,3.0
FED007,empty,-5,10,9.0
FED007,empty,-5,11,7.0
FED007,empty,-5,12,10.0
FED007,empty,-5,13,3.0
FED007,empty,-5,14,15.0
FED007,empty,-5,15,13.0
FED007,empty,-5,16,16.0
FED007,empty,-5,17,13.0
FED007,empty,-5,18,15.0
FED007,empty,-5,19,11.0
FED007,empty,-5,20,4.0
FED007,empty,-5,21,7.0
FED007,empty,-5,23,19.0
FED007,empty,-4,0,4.0
FED007,empty,-4,2,7.0
FED007,empty,-4,3,10.0
FED007,empty,-4,4,4.0
FED007,empty,-4,5,7.0
FED007,empty,-4,8,6.0
FED007,empty,-4,9,2.0
FED007,empty,-4,10,8.0
FED007,empty,-4,11,8.0
FED007,empty,-4,12,10.0
FED007,empty,-4,13,9.0
FED007,empty,-4,14,11.0
FED007,empty,-4,15,10.0
FED007,empty,-4,16,14.0
FED007,empty,-4,17,11.0
FED007,empty,-4,18,13.0
FED007,empty,-4,19,14.0
FED007,empty,-4,20,7.0
FED007,empty,-4,21,5.0
FED007,empty,-4,22,12.0
FED007,empty,-4,23,7.0
FED007,empty,-3,0,2.0
FED007,empty,-3,1,7.0
FED007,empty,-3,2,13.0
FED007,empty,-3,4,6.0
FED007,empty,-3,5,2.0
FED007,empty,-3,8,12.0
FED007,empty,-3,10,10.0
FED007,empty,-3,11,16.0
FED007,empty,-3,12,12.0
FED007,empty,-3,13,6.0
FED007,empty,-3,14,11.0
FED007,empty,-3,15,14.0
FED007,empty,-3,16,19.0
FED007,empty,-3,17,15.0
FED007,empty,-3,18,2.0
FED007,empty,-3,19,1.0
FED007,empty,-3,20,13.0
FED007,empty,-3,21,18.0
FED007,empty,-3,22,7.0
FED007,empty,-3,23,5.0
FED007,empty,-2,0,6.0
FED007,empty,-2,1,1.0
FED007,empty,-2,2,7.0
FED007,empty,-2,4,6.0
FED007,empty,-2,5,4.0
FED007,empty,-2,6,5.0
FED007,empty,-2,7,4.0
FED007,empty,-2,8,10.0
FED007,empty,-2,9,11.0
FED007,empty,-2,10,6.0
FED007,empty,-2,11,5.0
FED007,empty,-2,12,11.0
FED007,empty,-2,13,17.0
FED007,empty,-2,14,12.0
FED007,empty,-2,15,20.0
FED007,empty,-2,16,21.0
FED007,empty,-2,17,18.0
FED007,empty,-2,19,7.0
FED007,empty,-2,20,10.0
FED007,empty,-2,21,14.0
FED007,empty,-2,22,8.0
FED008,empty,-4,0,4.0
FED008,empty,-4,1,7.0
FED008,empty,-4,2,7.0
FED008,empty,-4,3,5.0
FED008,empty,-4,4,7.0
FED008,empty,-4,6,8.0
FED008,empty,-4,7,6.0
FED008,empty,-4,8,2.0
FED008,empty,-4,9,2.0
FED008,empty,-4,10,10.0
FED008,empty,-4,11,11.0
FED008,empty,-4,12,5.0
FED008,empty,-4,13,8.0
FED008,empty,-4,14,15.0
FED008,empty,-4,15,16.0
FED008,empty,-4,16,13.0
FED008,empty,-4,17,22.0
FED008,empty,-4,18,20.0
FED008,empty,-4,19,19.0
FED008,empty,-4,20,6.0
FED008,empty,-4,22,15.0
FED008,empty,-4,23,6.0
FED008,empty,-3,0,8.0
FED008,empty,-3,1,10.0
FED008,empty,-3,2,1.0
FED008,empty,-3,3,3.0
FED008,empty,-3,4,5.0
FED008,empty,-3,5,1.0
