Mouse,Measurement,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
06,Feeding,4.333333333333333,5.2,4.333333333333333,6.166666666666667,6.0,7.8,4.0,6.25,10.0,10.833333333333334,10.428571428571429,11.571428571428571,14.571428571428571,14.857142857142858,17.142857142857142,18.857142857142858,19.714285714285715,12.142857142857142,11.714285714285714,7.0,8.714285714285714,11.75,5.0,7.25
06,Seeking,2.5,4.0,1.0,1.0,1.0,7.0,2.3333333333333335,1.0,3.0,2.5,3.0,1.75,3.4,4.2,5.2,4.4,8.6,7.6,8.4,8.8,4.2,2.6666666666666665,2.0,2.25
07,Feeding,3.75,6.428571428571429,5.6,4.75,4.428571428571429,4.8,8.25,8.4,9.285714285714286,7.666666666666667,6.857142857142857,9.625,9.0,11.625,10.875,8.375,8.375,10.285714285714286,11.142857142857142,8.428571428571429,13.125,6.5,3.4,2.6
07,Seeking,1.3333333333333333,2.5,2.0,2.0,1.0,1.0,1.75,1.3333333333333333,2.0,1.5,1.6666666666666667,1.5,8.125,5.25,6.375,5.428571428571429,7.285714285714286,4.428571428571429,5.625,7.285714285714286,6.25,4.571428571428571,2.75,2.0
08,Feeding,5.0,4.0,6.4,6.25,6.0,7.75,7.8,6.5,3.0,7.2,8.0,7.428571428571429,10.0,10.428571428571429,9.5,13.0,8.428571428571429,10.0,9.571428571428571,9.428571428571429,9.0,11.833333333333334,7.25,2.0
08,Seeking,4.0,3.3333333333333335,1.75,2.3333333333333335,1.0,2.75,1.5,2.5,2.75,1.0,2.0,1.6666666666666667,5.25,5.6,5.75,10.0,6.2,8.8,11.4,8.25,12.6,10.4,8.0,6.4
10,Feeding,8.6,6.5,6.666666666666667,8.0,5.0,7.4,6.75,6.2,7.75,7.6,12.166666666666666,11.5,13.666666666666666,15.5,15.333333333333334,12.2,14.2,13.666666666666666,17.2,8.666666666666666,10.0,10.666666666666666,10.333333333333334,11.666666666666666
10,Seeking,1.0,2.5,5.0,1.75,1.0,2.0,2.0,3.75,3.0,3.6666666666666665,2.0,2.8,7.166666666666667,9.5,4.333333333333333,3.2,5.2,3.8333333333333335,8.0,4.0,3.2,5.666666666666667,5.75,3.5
11,Feeding,10.0,13.166666666666666,12.166666666666666,10.25,7.333333333333333,11.5,9.857142857142858,10.5,7.714285714285714,12.0,16.5,11.875,12.5,22.142857142857142,12.571428571428571,13.833333333333334,17.5,13.0,13.25,10.875,15.142857142857142,10.857142857142858,11.0,13.333333333333334
11,Seeking,3.8,1.5,3.6666666666666665,2.5,2.4,1.0,1.5,3.2,4.285714285714286,4.0,1.75,2.2,4.625,5.875,6.0,3.625,4.428571428571429,4.666666666666667,4.625,4.571428571428571,6.714285714285714,3.625,3.625,6.714285714285714
12,Feeding,8.166666666666666,4.333333333333333,3.8,1.6,3.0,4.5,6.5,7.875,8.375,6.142857142857143,12.125,13.0,20.0,17.0,15.125,15.428571428571429,10.142857142857142,14.142857142857142,12.125,13.875,10.375,13.428571428571429,8.142857142857142,8.333333333333334
12,Seeking,4.8,0.0,1.3333333333333333,4.0,0.0,2.6666666666666665,1.0,4.6,2.2857142857142856,3.0,2.2,3.0,7.571428571428571,9.625,5.285714285714286,5.428571428571429,4.0,6.375,2.2857142857142856,5.833333333333333,3.3333333333333335,4.333333333333333,7.5,4.5
14,Feeding,7.0,13.333333333333334,14.0,9.333333333333334,3.0,14.0,9.5,8.0,9.25,10.285714285714286,11.285714285714286,14.375,20.571428571428573,21.0,28.375,15.125,17.8,13.6,22.166666666666668,16.428571428571427,15.666666666666666,17.0,15.333333333333334,7.0
14,Seeking,3.25,2.6666666666666665,3.2,1.6,1.5,4.5,1.6,1.8,2.0,2.0,2.5,1.5,7.0,8.25,8.25,6.25,5.0,5.375,6.142857142857143,6.5,7.125,3.857142857142857,3.857142857142857,2.6666666666666665
15,Feeding,8.0,4.571428571428571,4.8,12.333333333333334,6.142857142857143,3.5,3.1666666666666665,5.285714285714286,10.166666666666666,9.625,12.5,11.285714285714286,15.125,17.625,7.142857142857143,20.75,13.857142857142858,14.375,12.0,12.333333333333334,9.875,4.0,6.833333333333333,8.666666666666666
15,Seeking,2.8,2.5,2.0,3.0,1.3333333333333333,1.6666666666666667,1.5,2.5,3.125,2.6,2.0,2.3333333333333335,7.375,5.75,3.375,8.0,6.625,8.714285714285714,6.75,7.571428571428571,9.25,3.6666666666666665,4.2,1.5
16,Feeding,7.8,8.0,9.75,5.666666666666667,9.6,7.0,8.625,7.166666666666667,10.25,7.4,14.333333333333334,11.333333333333334,8.375,12.0,12.428571428571429,11.571428571428571,13.625,10.75,13.142857142857142,14.5,11.125,10.285714285714286,6.75,12.333333333333334
16,Seeking,5.5,1.6666666666666667,2.75,1.2,1.3333333333333333,1.0,2.0,5.5,5.875,2.5,2.0,2.2857142857142856,5.714285714285714,6.625,8.25,6.75,8.0,7.625,8.75,10.875,9.625,7.25,4.285714285714286,5.0
