day,zthour,day_label,id,mean
2.0,11,0.2 mg/kg,E95,9.23
2.0,12,0.2 mg/kg,E95,26.7
2.0,13,0.2 mg/kg,E95,32.6
2.0,14,0.2 mg/kg,E95,12.8
2.0,15,0.2 mg/kg,E95,4.64
2.0,16,0.2 mg/kg,E95,46.8
2.0,17,0.2 mg/kg,E95,10.4
2.0,18,0.2 mg/kg,E95,2.35
2.0,19,0.2 mg/kg,E95,8.91
2.0,20,0.2 mg/kg,E95,22.9
2.0,21,0.2 mg/kg,E95,4.22
2.0,22,0.2 mg/kg,E95,12.6
2.0,23,0.2 mg/kg,E95,11.8
4.0,0,0.4 mg/kg,E95,5.3
4.0,1,0.4 mg/kg,E95,3.07
4.0,2,0.4 mg/kg,E95,26.3
4.0,3,0.4 mg/kg,E95,13.1
4.0,4,0.4 mg/kg,E95,20.2
4.0,5,0.4 mg/kg,E95,35.0
4.0,6,0.4 mg/kg,E95,34.1
4.0,7,0.4 mg/kg,E95,43.2
4.0,8,0.4 mg/kg,E95,13.6
4.0,9,0.4 mg/kg,E95,43.5
4.0,10,0.4 mg/kg,E95,18.0
4.0,11,0.4 mg/kg,E95,33.9
4.0,12,0.4 mg/kg,E95,31.4
4.0,13,0.4 mg/kg,E95,46.9
4.0,14,0.4 mg/kg,E95,19.9
4.0,15,0.4 mg/kg,E95,9.88
4.0,16,0.4 mg/kg,E95,14.9
4.0,17,0.4 mg/kg,E95,1.61
4.0,18,0.4 mg/kg,E95,14.2
4.0,19,0.4 mg/kg,E95,3.09
4.0,20,0.4 mg/kg,E95,22.8
4.0,21,0.4 mg/kg,E95,1.6
4.0,22,0.4 mg/kg,E95,14.6
4.0,23,0.4 mg/kg,E95,1.18
1.0,0,saline,EA2,28.1
1.0,1,saline,EA2,7.29
1.0,2,saline,EA2,24.8
1.0,3,saline,EA2,46.1
1.0,4,saline,EA2,36.0
1.0,5,saline,EA2,26.8
1.0,6,saline,EA2,46.7
1.0,7,saline,EA2,22.3
1.0,8,saline,EA2,37.3
1.0,9,saline,EA2,32.3
1.0,10,saline,EA2,11.8
1.0,11,saline,EA2,9.32
1.0,12,saline,EA2,38.8
1.0,13,saline,EA2,44.8
1.0,14,saline,EA2,52.0
1.0,15,saline,EA2,28.9
1.0,16,saline,EA2,12.6
1.0,17,saline,EA2,7.62
1.0,18,saline,EA2,16.7
1.0,19,saline,EA2,22.7
1.0,20,saline,EA2,3.77
1.0,21,saline,EA2,23.2
1.0,22,saline,EA2,4.83
1.0,23,saline,EA2,22.1
2.0,0,0.2 mg/kg,EA2,12.8
2.0,1,0.2 mg/kg,EA2,4.39
2.0,2,0.2 mg/kg,EA2,32.7
2.0,3,0.2 mg/kg,EA2,40.1
2.0,4,0.2 mg/kg,EA2,43.1
2.0,5,0.2 mg/kg,EA2,27.3
2.0,6,0.2 mg/kg,EA2,28.2
2.0,7,0.2 mg/kg,EA2,23.1
2.0,8,0.2 mg/kg,EA2,12.7
2.0,9,0.2 mg/kg,EA2,11.6
2.0,10,0.2 mg/kg,EA2,28.5
2.0,11,0.2 mg/kg,EA2,17.9
2.0,12,0.2 mg/kg,EA2,16.8
2.0,13,0.2 mg/kg,EA2,41.8
2.0,14,0.2 mg/kg,EA2,38.0
2.0,15,0.2 mg/kg,EA2,17.7
2.0,16,0.2 mg/kg,EA2,0.971
2.0,17,0.2 mg/kg,EA2,1.91
2.0,18,0.2 mg/kg,EA2,10.2
2.0,19,0.2 mg/kg,EA2,3.07
2.0,20,0.2 mg/kg,EA2,0.451
2.0,21,0.2 mg/kg,EA2,6.25
2.0,22,0.2 mg/kg,EA2,22.8
2.0,23,0.2 mg/kg,EA2,1.15
4.0,0,0.4 mg/kg,EA2,8.84
4.0,1,0.4 mg/kg,EA2,0.0244
4.0,2,0.4 mg/kg,EA2,2.57
4.0,3,0.4 mg/kg,EA2,7.32
4.0,4,0.4 mg/kg,EA2,2.44
4.0,5,0.4 mg/kg,EA2,20.2
4.0,6,0.4 mg/kg,EA2,23.7
4.0,7,0.4 mg/kg,EA2,2.46
4.0,8,0.4 mg/kg,EA2,1.88
4.0,9,0.4 mg/kg,EA2,9.37
4.0,10,0.4 mg/kg,EA2,35.2
4.0,11,0.4 mg/kg,EA2,20.8
4.0,12,0.4 mg/kg,EA2,18.3
4.0,13,0.4 mg/kg,EA2,45.2
4.0,14,0.4 mg/kg,EA2,29.8
4.0,15,0.4 mg/kg,EA2,0.148
4.0,16,0.4 mg/kg,EA2,0.572
4.0,17,0.4 mg/kg,EA2,0.0244
4.0,18,0.4 mg/kg,EA2,0.0244
4.0,19,0.4 mg/kg,EA2,7.45
4.0,20,0.4 mg/kg,EA2,0.0244
4.0,21,0.4 mg/kg,EA2,0.0244
4.0,22,0.4 mg/kg,EA2,0.0244
4.0,23,0.4 mg/kg,EA2,3.35
1.0,0,saline,E94,14.7
1.0,1,saline,E94,6.17
1.0,2,saline,E94,8.6
1.0,3,saline,E94,12.3
1.0,4,saline,E94,7.82
1.0,5,saline,E94,37.6
1.0,6,saline,E94,19.6
1.0,7,saline,E94,26.5
1.0,8,saline,E94,33.7
1.0,9,saline,E94,14.1
1.0,10,saline,E94,1.49
1.0,11,saline,E94,26.5
1.0,12,saline,E94,23.5
1.0,13,saline,E94,33.4
1.0,14,saline,E94,27.6
1.0,15,saline,E94,10.2
1.0,16,saline,E94,3.05
1.0,17,saline,E94,0.0244
1.0,18,saline,E94,2.7
1.0,19,saline,E94,26.4
1.0,20,saline,E94,1.16
1.0,21,saline,E94,0.0244
1.0,22,saline,E94,0.0244
1.0,23,saline,E94,9.33
2.0,0,0.2 mg/kg,E94,8.81
2.0,1,0.2 mg/kg,E94,0.11
2.0,2,0.2 mg/kg,E94,4.27
2.0,3,0.2 mg/kg,E94,7.5
2.0,4,0.2 mg/kg,E94,24.3
2.0,5,0.2 mg/kg,E94,10.4
2.0,6,0.2 mg/kg,E94,20.4
2.0,7,0.2 mg/kg,E94,24.0
2.0,8,0.2 mg/kg,E94,31.4
2.0,9,0.2 mg/kg,E94,15.3
2.0,10,0.2 mg/kg,E94,1.54
2.0,11,0.2 mg/kg,E94,0.0244
2.0,12,0.2 mg/kg,E94,14.4
2.0,13,0.2 mg/kg,E94,18.8
2.0,14,0.2 mg/kg,E94,26.5
2.0,15,0.2 mg/kg,E94,26.2
2.0,16,0.2 mg/kg,E94,30.4
2.0,17,0.2 mg/kg,E94,0.518
2.0,18,0.2 mg/kg,E94,0.442
2.0,19,0.2 mg/kg,E94,0.394
2.0,20,0.2 mg/kg,E94,0.0244
2.0,21,0.2 mg/kg,E94,6.63
2.0,22,0.2 mg/kg,E94,0.154
2.0,23,0.2 mg/kg,E94,0.131
4.0,0,0.4 mg/kg,E94,4.19
4.0,1,0.4 mg/kg,E94,0.0244
4.0,2,0.4 mg/kg,E94,6.34
4.0,3,0.4 mg/kg,E94,5.22
4.0,4,0.4 mg/kg,E94,8.14
4.0,5,0.4 mg/kg,E94,24.5
4.0,6,0.4 mg/kg,E94,25.7
4.0,7,0.4 mg/kg,E94,32.8
4.0,8,0.4 mg/kg,E94,32.6
4.0,9,0.4 mg/kg,E94,13.5
4.0,10,0.4 mg/kg,E94,0.0589
4.0,11,0.4 mg/kg,E94,1.81
4.0,12,0.4 mg/kg,E94,15.4
4.0,13,0.4 mg/kg,E94,19.9
4.0,14,0.4 mg/kg,E94,31.7
4.0,15,0.4 mg/kg,E94,35.6
4.0,16,0.4 mg/kg,E94,22.1
4.0,17,0.4 mg/kg,E94,5.56
4.0,18,0.4 mg/kg,E94,0.331
4.0,19,0.4 mg/kg,E94,11.8
4.0,20,0.4 mg/kg,E94,3.81
4.0,21,0.4 mg/kg,E94,0.0244
4.0,22,0.4 mg/kg,E94,0.0244
4.0,23,0.4 mg/kg,E94,2.89
1.0,0,saline,E8D,26.7
1.0,1,saline,E8D,15.3
1.0,2,saline,E8D,4.62
1.0,3,saline,E8D,37.1
1.0,4,saline,E8D,30.5
1.0,5,saline,E8D,45.5
1.0,6,saline,E8D,17.1
1.0,7,saline,E8D,21.4
1.0,8,saline,E8D,49.6
1.0,9,saline,E8D,43.2
1.0,10,saline,E8D,41.5
1.0,11,saline,E8D,42.7
1.0,12,saline,E8D,49.6
1.0,13,saline,E8D,50.8
1.0,14,saline,E8D,21.6
1.0,15,saline,E8D,11.1
1.0,16,saline,E8D,14.2
1.0,17,saline,E8D,2.98
1.0,18,saline,E8D,7.72
1.0,19,saline,E8D,5.26
1.0,20,saline,E8D,4.81
1.0,21,saline,E8D,6.06
1.0,22,saline,E8D,15.1
1.0,23,saline,E8D,0.975
2.0,0,0.2 mg/kg,E8D,17.3
2.0,1,0.2 mg/kg,E8D,0.121
2.0,2,0.2 mg/kg,E8D,14.1
2.0,3,0.2 mg/kg,E8D,26.2
2.0,4,0.2 mg/kg,E8D,11.1
2.0,5,0.2 mg/kg,E8D,20.6
2.0,6,0.2 mg/kg,E8D,31.1
2.0,7,0.2 mg/kg,E8D,10.5
2.0,8,0.2 mg/kg,E8D,5.13
2.0,9,0.2 mg/kg,E8D,25.6
2.0,10,0.2 mg/kg,E8D,6.61
2.0,11,0.2 mg/kg,E8D,19.0
2.0,12,0.2 mg/kg,E8D,38.2
2.0,13,0.2 mg/kg,E8D,40.6
2.0,14,0.2 mg/kg,E8D,47.2
2.0,15,0.2 mg/kg,E8D,20.3
2.0,16,0.2 mg/kg,E8D,3.04
2.0,17,0.2 mg/kg,E8D,2.05
2.0,18,0.2 mg/kg,E8D,3.63
2.0,19,0.2 mg/kg,E8D,4.55
2.0,20,0.2 mg/kg,E8D,8.11
2.0,21,0.2 mg/kg,E8D,8.79
2.0,22,0.2 mg/kg,E8D,0.0857
2.0,23,0.2 mg/kg,E8D,4.3
4.0,0,0.4 mg/kg,E8D,10.3
4.0,1,0.4 mg/kg,E8D,0.245
4.0,2,0.4 mg/kg,E8D,4.21
4.0,3,0.4 mg/kg,E8D,6.91
4.0,4,0.4 mg/kg,E8D,7.22
4.0,5,0.4 mg/kg,E8D,20.1
4.0,6,0.4 mg/kg,E8D,16.7
4.0,7,0.4 mg/kg,E8D,9.45
4.0,8,0.4 mg/kg,E8D,14.4
4.0,9,0.4 mg/kg,E8D,9.48
4.0,10,0.4 mg/kg,E8D,13.7
4.0,11,0.4 mg/kg,E8D,24.0
4.0,12,0.4 mg/kg,E8D,29.9
4.0,13,0.4 mg/kg,E8D,45.2
4.0,14,0.4 mg/kg,E8D,37.7
4.0,15,0.4 mg/kg,E8D,35.4
4.0,16,0.4 mg/kg,E8D,12.0
4.0,17,0.4 mg/kg,E8D,1.72
4.0,18,0.4 mg/kg,E8D,1.07
4.0,19,0.4 mg/kg,E8D,6.72
4.0,20,0.4 mg/kg,E8D,0.412
4.0,21,0.4 mg/kg,E8D,12.0
4.0,22,0.4 mg/kg,E8D,0.412
4.0,23,0.4 mg/kg,E8D,3.06
