Time,553,549,561,EB0,E95,EA2,E94,E8D,hour,date,day,zthour
2024-12-26 19:00:00,6.27,4.1,4.84,17.1,13.1,7.32,5.22,6.91,19.0,2024-12-26,4.0,3.0
2024-12-26 20:00:00,2.12,6.42,15.4,36.6,20.2,2.44,8.14,7.22,20.0,2024-12-26,4.0,4.0
2024-12-26 21:00:00,11.1,21.4,8.44,43.5,35.0,20.2,24.5,20.1,21.0,2024-12-26,4.0,5.0
2024-12-26 22:00:00,10.1,0.902,3.03,40.6,34.1,23.7,25.7,16.7,22.0,2024-12-26,4.0,6.0
2024-12-26 23:00:00,32.6,6.52,27.8,42.1,43.2,2.46,32.8,9.45,23.0,2024-12-26,4.0,7.0
2024-12-27 00:00:00,13.3,1.49,7.25,30.8,13.6,1.88,32.6,14.4,0.0,2024-12-27,4.0,8.0
2024-12-27 01:00:00,15.1,2.87,1.88,11.1,43.5,9.37,13.5,9.48,1.0,2024-12-27,4.0,9.0
2024-12-27 02:00:00,27.0,8.49,10.0,1.64,18.0,35.2,0.0589,13.7,2.0,2024-12-27,4.0,10.0
2024-12-27 03:00:00,21.2,21.7,4.6,7.17,33.9,20.8,1.81,24.0,3.0,2024-12-27,4.0,11.0
2024-12-27 04:00:00,21.9,28.5,34.0,26.5,31.4,18.3,15.4,29.9,4.0,2024-12-27,4.0,12.0
2024-12-27 05:00:00,35.5,38.3,35.7,45.5,46.9,45.2,19.9,45.2,5.0,2024-12-27,4.0,13.0
2024-12-27 06:00:00,25.0,10.1,0.687,36.7,19.9,29.8,31.7,37.7,6.0,2024-12-27,4.0,14.0
2024-12-27 07:00:00,1.51,0.0528,0.0244,3.95,9.88,0.148,35.6,35.4,7.0,2024-12-27,4.0,15.0
2024-12-27 08:00:00,0.202,1.04,0.868,2.72,14.9,0.572,22.1,12.0,8.0,2024-12-27,4.0,16.0
2024-12-27 09:00:00,0.21,0.629,0.0244,15.2,1.61,0.0244,5.56,1.72,9.0,2024-12-27,4.0,17.0
2024-12-27 10:00:00,1.88,0.111,0.0244,0.0244,14.2,0.0244,0.331,1.07,10.0,2024-12-27,4.0,18.0
2024-12-27 11:00:00,0.0244,1.25,4.21,7.7,3.09,7.45,11.8,6.72,11.0,2024-12-27,4.0,19.0
2024-12-27 12:00:00,10.0,0.584,5.2,0.494,22.8,0.0244,3.81,0.412,12.0,2024-12-27,4.0,20.0
2024-12-27 13:00:00,0.0244,0.593,0.0244,11.1,1.6,0.0244,0.0244,12.0,13.0,2024-12-27,4.0,21.0
2024-12-27 14:00:00,0.0244,0.972,0.416,6.64,14.6,0.0244,0.0244,0.412,14.0,2024-12-27,4.0,22.0
2024-12-27 15:00:00,9.15,1.08,0.0244,0.926,1.18,3.35,2.89,3.06,15.0,2024-12-27,4.0,23.0
2024-12-27 16:00:00,2.93,0.925,1.63,5.17,6.23,1.88,3.67,13.9,16.0,2024-12-27,5.0,0.0
2024-12-27 17:00:00,0.102,0.0244,1.13,0.438,1.72,0.0244,0.0244,1.04,17.0,2024-12-27,5.0,1.0
2024-12-27 18:00:00,1.01,1.26,1.1,8.14,21.2,5.79,5.01,3.13,18.0,2024-12-27,5.0,2.0
2024-12-27 19:00:00,6.48,3.36,3.91,18.1,15.4,18.0,13.2,9.65,19.0,2024-12-27,5.0,3.0
2024-12-27 20:00:00,4.59,2.36,2.1,43.5,27.4,7.76,4.74,9.63,20.0,2024-12-27,5.0,4.0
2024-12-27 21:00:00,22.6,33.8,6.18,43.4,35.5,31.0,32.8,24.1,21.0,2024-12-27,5.0,5.0
2024-12-27 22:00:00,24.0,4.29,2.38,43.6,18.8,30.1,15.7,7.03,22.0,2024-12-27,5.0,6.0
2024-12-27 23:00:00,3.42,17.3,20.8,31.7,38.0,33.4,31.4,7.29,23.0,2024-12-27,5.0,7.0
2024-12-28 00:00:00,19.0,0.304,5.89,43.5,31.5,32.5,31.1,5.28,0.0,2024-12-28,5.0,8.0
2024-12-28 01:00:00,3.51,2.87,0.77,36.6,17.8,18.8,27.1,16.5,1.0,2024-12-28,5.0,9.0
2024-12-28 02:00:00,12.4,3.72,10.1,0.211,29.5,31.4,4.58,4.1,2.0,2024-12-28,5.0,10.0
2024-12-28 03:00:00,20.6,11.5,6.22,3.14,30.3,18.3,9.47,19.4,3.0,2024-12-28,5.0,11.0
2024-12-28 04:00:00,24.4,13.9,20.4,27.9,26.6,39.4,14.8,32.8,4.0,2024-12-28,5.0,12.0
2024-12-28 05:00:00,33.7,30.9,32.3,50.1,37.4,39.9,36.2,34.3,5.0,2024-12-28,5.0,13.0
2024-12-28 06:00:00,21.4,36.6,11.1,45.0,27.7,2.54,36.4,33.2,6.0,2024-12-28,5.0,14.0
2024-12-28 07:00:00,0.354,14.0,0.95,53.6,4.92,0.534,34.9,46.2,7.0,2024-12-28,5.0,15.0
2024-12-28 08:00:00,0.0244,0.0244,0.0332,19.9,7.12,7.89,7.04,18.4,8.0,2024-12-28,5.0,16.0
2024-12-28 09:00:00,0.0244,0.0244,0.0244,6.63,6.85,0.0244,0.0244,2.51,9.0,2024-12-28,5.0,17.0
2024-12-28 10:00:00,0.0244,3.78,4.15,7.23,9.93,0.0674,0.0244,4.07,10.0,2024-12-28,5.0,18.0
2024-12-28 11:00:00,3.04,0.393,0.0446,25.4,3.35,1.52,2.23,1.42,11.0,2024-12-28,5.0,19.0
2024-12-28 12:00:00,0.0244,0.068,14.8,1.39,2.1,7.3,0.0244,3.03,12.0,2024-12-28,5.0,20.0
2024-12-28 13:00:00,0.0244,6.08,0.0244,17.2,7.87,0.113,5.76,3.62,13.0,2024-12-28,5.0,21.0
2024-12-28 14:00:00,2.72,0.0244,5.59,24.7,6.94,0.772,0.0244,0.999,14.0,2024-12-28,5.0,22.0
2024-12-28 15:00:00,0.0296,2.74,2.11,4.24,4.7,8.88,0.0244,2.77,15.0,2024-12-28,5.0,23.0
