device_number,behavior,hoursfloor,event
11,Seeking,-11,3.0
11,Seeking,-10,3.0
11,Seeking,-9,1.0
11,Seeking,-8,3.0
11,Seeking,-7,2.0
11,Seeking,-5,1.0
11,Seeking,3,2.0
11,Seeking,6,4.0
11,Seeking,7,23.0
11,Seeking,8,11.0
11,Seeking,9,15.0
11,Seeking,10,11.0
11,Seeking,11,16.0
11,Seeking,12,5.0
11,Seeking,13,8.0
11,Seeking,14,9.0
11,Seeking,15,2.0
11,Seeking,16,4.0
11,Seeking,17,3.0
11,Seeking,18,9.0
11,Seeking,20,4.0
11,Seeking,22,6.0
11,Seeking,24,1.0
11,Seeking,27,8.0
11,Seeking,29,5.0
11,Seeking,30,2.0
11,Seeking,31,6.0
11,Seeking,32,4.0
11,Seeking,33,9.0
11,Seeking,34,9.0
11,Seeking,35,3.0
11,Seeking,36,10.0
11,Seeking,37,11.0
11,Seeking,38,17.0
11,Seeking,39,3.0
11,Seeking,40,3.0
11,Seeking,41,17.0
11,Seeking,42,5.0
11,Seeking,44,3.0
11,Seeking,47,1.0
11,Seeking,49,3.0
11,Seeking,50,5.0
11,Seeking,51,5.0
11,Seeking,52,2.0
11,Seeking,53,1.0
11,Seeking,54,5.0
11,Seeking,55,4.0
11,Seeking,56,8.0
11,Seeking,57,2.0
11,Seeking,58,6.0
11,Seeking,60,6.0
11,Seeking,61,5.0
11,Seeking,63,6.0
11,Seeking,64,1.0
11,Seeking,65,9.0
11,Seeking,67,1.0
11,Seeking,69,2.0
12,Exploring,-71,1.0
12,Exploring,-70,1.0
12,Exploring,-68,1.0
12,Exploring,-66,2.0
12,Exploring,-65,3.0
12,Exploring,-63,5.0
12,Exploring,-62,1.0
12,Exploring,-61,5.0
12,Exploring,-60,3.0
12,Exploring,-58,2.0
12,Exploring,-57,3.0
12,Exploring,-56,1.0
12,Exploring,-55,4.0
12,Exploring,-54,1.0
12,Exploring,-44,1.0
12,Exploring,-43,2.0
12,Exploring,-42,1.0
12,Exploring,-41,1.0
12,Exploring,-40,1.0
12,Exploring,-39,2.0
12,Exploring,-36,6.0
12,Exploring,-34,3.0
12,Exploring,-31,3.0
12,Exploring,-28,1.0
12,Exploring,-23,2.0
12,Exploring,-21,2.0
12,Exploring,-17,1.0
12,Exploring,-16,2.0
12,Exploring,-14,4.0
12,Exploring,-12,3.0
12,Exploring,-11,1.0
12,Exploring,-9,1.0
12,Exploring,-8,1.0
12,Exploring,-5,2.0
12,Exploring,4,2.0
12,Exploring,5,1.0
12,Exploring,7,1.0
12,Exploring,8,2.0
12,Exploring,9,1.0
12,Exploring,10,3.0
12,Exploring,11,3.0
12,Exploring,12,1.0
12,Exploring,13,1.0
12,Exploring,14,2.0
12,Exploring,15,2.0
12,Exploring,16,1.0
12,Exploring,18,2.0
12,Exploring,21,2.0
12,Exploring,23,1.0
12,Exploring,27,1.0
12,Exploring,28,2.0
12,Exploring,29,1.0
12,Exploring,30,2.0
12,Exploring,31,2.0
12,Exploring,35,2.0
12,Exploring,36,3.0
12,Exploring,42,1.0
12,Exploring,49,1.0
12,Exploring,51,1.0
12,Exploring,52,2.0
12,Exploring,54,3.0
12,Exploring,55,1.0
12,Exploring,57,2.0
12,Exploring,61,1.0
12,Exploring,63,3.0
12,Seeking,-71,2.0
12,Seeking,-68,1.0
12,Seeking,-66,4.0
12,Seeking,-65,3.0
12,Seeking,-64,1.0
