Time,553,549,561,EB0,E95,EA2,E94,E8D,hour,date,day,zthour
2025-01-08 18:00:00,18.8,11.6,21.7,35.2,24.1,3.68,9.75,6.29,18,2025-01-08,4,2
2025-01-08 19:00:00,21.2,19.2,14.1,36.7,24.1,23.4,13.4,26.7,19,2025-01-08,4,3
2025-01-08 20:00:00,20.6,15.0,12.6,52.3,24.2,4.79,31.2,4.48,20,2025-01-08,4,4
2025-01-08 21:00:00,8.15,15.7,16.3,8.63,15.1,9.23,10.6,24.4,21,2025-01-08,4,5
2025-01-08 22:00:00,26.5,19.6,22.6,61.1,21.5,19.6,29.2,1.92,22,2025-01-08,4,6
2025-01-08 23:00:00,21.3,4.28,22.7,57.0,29.2,25.9,4.77,26.5,23,2025-01-08,4,7
2025-01-09 00:00:00,12.7,3.61,20.5,53.8,16.9,2.62,30.2,15.5,0,2025-01-09,4,8
2025-01-09 01:00:00,20.8,15.7,0.0244,49.3,15.4,3.03,12.2,1.87,1,2025-01-09,4,9
2025-01-09 02:00:00,19.2,0.966,0.0244,9.52,18.6,17.9,0.609,18.4,2,2025-01-09,4,10
2025-01-09 03:00:00,18.9,7.72,27.1,4.38,22.6,14.9,11.4,18.8,3,2025-01-09,4,11
2025-01-09 04:00:00,28.4,12.0,1.04,33.8,13.0,30.9,2.01,7.96,4,2025-01-09,4,12
2025-01-09 05:00:00,33.3,19.6,28.0,45.1,37.1,32.3,30.8,35.0,5,2025-01-09,4,13
2025-01-09 06:00:00,34.3,18.1,0.116,17.0,17.7,17.9,32.7,42.9,6,2025-01-09,4,14
2025-01-09 07:00:00,7.93,7.41,0.835,7.14,6.8,0.316,41.2,26.1,7,2025-01-09,4,15
2025-01-09 08:00:00,3.77,0.0244,1.09,27.8,15.0,4.03,16.0,3.89,8,2025-01-09,4,16
2025-01-09 09:00:00,5.03,0.14,0.105,1.28,4.71,0.1,0.872,1.14,9,2025-01-09,4,17
2025-01-09 10:00:00,2.54,0.449,8.09,25.9,1.23,0.0694,0.0244,0.897,10,2025-01-09,4,18
2025-01-09 11:00:00,14.4,2.37,3.7,1.16,4.19,0.0244,5.0,6.18,11,2025-01-09,4,19
2025-01-09 12:00:00,2.58,0.0244,0.0244,0.977,21.8,8.53,0.0244,5.19,12,2025-01-09,4,20
2025-01-09 13:00:00,15.0,0.667,5.73,3.8,3.3,0.101,0.0244,0.377,13,2025-01-09,4,21
2025-01-09 14:00:00,9.34,3.34,0.0244,0.303,1.41,0.0755,14.4,15.7,14,2025-01-09,4,22
2025-01-09 15:00:00,0.747,1.02,7.59,5.09,5.86,3.57,0.0244,1.24,15,2025-01-09,4,23
2025-01-09 16:00:00,17.0,7.91,12.5,18.0,25.8,15.6,10.7,26.9,16,2025-01-09,5,0
2025-01-09 17:00:00,4.17,2.4,0.0324,7.6,5.83,1.66,15.1,13.8,17,2025-01-09,5,1
2025-01-09 18:00:00,18.8,11.0,21.9,9.78,19.2,1.27,4.97,14.7,18,2025-01-09,5,2
2025-01-09 19:00:00,11.2,7.3,4.58,14.5,23.3,22.5,11.2,29.8,19,2025-01-09,5,3
2025-01-09 20:00:00,11.2,12.6,7.82,34.9,38.1,17.9,25.6,9.01,20,2025-01-09,5,4
2025-01-09 21:00:00,11.8,2.88,13.9,19.6,20.8,10.4,13.6,37.9,21,2025-01-09,5,5
2025-01-09 22:00:00,5.51,22.2,12.3,17.8,22.6,19.4,24.0,22.8,22,2025-01-09,5,6
2025-01-09 23:00:00,19.8,23.1,27.8,38.8,24.5,11.1,3.89,15.7,23,2025-01-09,5,7
2025-01-10 00:00:00,4.1,7.93,16.1,38.2,21.2,1.42,20.6,26.8,0,2025-01-10,5,8
2025-01-10 01:00:00,8.69,0.0869,0.84,29.6,25.0,3.22,16.5,2.12,1,2025-01-10,5,9
2025-01-10 02:00:00,5.48,7.59,0.0831,0.75,8.83,1.15,0.73,15.4,2,2025-01-10,5,10
